id,name,sub_category,ratings,no_of_ratings,discount_price,actual_price,discount_percent
a17952ef-c467-4d5f-8bf4-e466ef9da946,b naturall coconut water powder  dry no added sugars and preservatives  100 gm by b naturall,coffee tea  beverages,3.2,18,131.0,381.0,65.61679790026247
ca8c9231-ccba-4ee7-a2e0-ce6ecce1b8e8,cocacola vanilla  6 pack 6 x 320 ml,coffee tea  beverages,4.1,46,774.0,1800.0,56.99999999999999
2bec4b1a-9b9c-4585-8ff5-53cb9b41109d,hitkary shahi rose sharbat 750ml,coffee tea  beverages,4.4,15,186.2,190.0,2.0000000000000058
9711b055-a268-4c76-8df2-016ed661d8a7,soursop services  soursop fruit juice 250 ml,coffee tea  beverages,4.2,96,0.0,250.0,100.0
cfbee830-3338-4948-a3dc-1446d5a6064a,prime hydration drink by logan paul x ksi blue raspberry 500ml,coffee tea  beverages,0.0,0,1799.0,2499.0,28.011204481792717
e2e44a7a-0411-463f-ae08-4d9e19af489b,mapro kiwi crush 1l,coffee tea  beverages,4.1,147,0.0,360.0,100.0
a2d75df2-ef86-45b6-8b64-65d0856e7d7c,bavaria nonalcoholic malt drink can 6 x 330 ml,coffee tea  beverages,3.9,46,600.0,1200.0,50.0
38be130f-d38a-45c4-83f3-219d74d145c8,mapro lemon barley 750ml,coffee tea  beverages,0.0,0,0.0,180.0,100.0
46e5d9bb-f12d-4fd8-9a59-f34a9a22dbce,laven noni gold juice 800ml,coffee tea  beverages,4.5,17,1399.0,1799.0,22.234574763757642
ef5e7d16-dc25-46de-8718-526e5fcc7ef6,starbucks frappuccino caramel drink 281 ml,coffee tea  beverages,3.6,26,410.0,549.0,25.318761384335154
d266be99-bc25-4286-add3-1e25dbb91aa2,truedreamall real  fresh cranberry juice concentrate juice750ml,coffee tea  beverages,4.1,106,2750.0,3550.0,22.535211267605636
03be6940-9ccc-4300-978c-12c3b7d2d2aa,malas fruit crush strawberry 750ml,coffee tea  beverages,4.0,47,173.0,175.0,1.1428571428571428
ba751b7e-a242-4cf2-855e-00f56ec7c4e5,san pellegrino sparkling natural mineral water 750 ml,coffee tea  beverages,4.1,27,430.0,450.0,4.444444444444445
0181cb66-f612-4048-9619-1e4380aca9a7,shreeji elaichi kesar syrup mix with milk pet bottle 500 ml,coffee tea  beverages,3.7,20,0.0,310.0,100.0
3e247aff-b434-4fc6-b614-91abc5966c57,laven noni gold juice 800ml,coffee tea  beverages,4.5,17,1399.0,1799.0,22.234574763757642
527e2e1b-fee3-4b77-9f67-0e5b0803d484,truedreamall real  fresh cranberry juice concentrate juice750ml,coffee tea  beverages,4.1,106,2750.0,3550.0,22.535211267605636
ba5d9788-1334-4fb3-a998-f018dee01264,malas fruit crush strawberry 750ml,coffee tea  beverages,4.0,47,173.0,175.0,1.1428571428571428
89280a46-86ef-4dff-bfc8-feec483e9ec1,san pellegrino sparkling natural mineral water 750 ml,coffee tea  beverages,4.1,27,430.0,450.0,4.444444444444445
f2508591-ffe7-422c-8b27-4aaf5c017002,shreeji elaichi kesar syrup mix with milk pet bottle 500 ml,coffee tea  beverages,3.7,20,0.0,310.0,100.0
4c25571f-e3cf-42a1-aa8f-ee1e93c6ef8e,monin popcorn syrup 700ml,coffee tea  beverages,4.3,38,1299.0,2000.0,35.05
6aab79a2-a9df-4f93-9e6e-3f4e980af149,33 herbals slim care juice white pumpkin juice 500 ml,coffee tea  beverages,3.3,2,250.0,265.0,5.660377358490567
ca1759fe-7ad3-49b1-acac-7bcaeaf8c6e9,b naturall pineapple drink powder  dry no added sugars and preservatives  100 gm by b naturall,coffee tea  beverages,3.3,10,279.0,381.0,26.77165354330709
109a82a5-b43d-4478-bbe3-20e6548585f6,evian natural mineral water bottle 8 x 750 ml,coffee tea  beverages,4.3,40,2999.0,4899.0,38.78342518881404
66fdde42-47d6-499c-8b18-04a8d8203758,360 degree organic ash gourd juice  500 ml,coffee tea  beverages,0.0,0,230.0,250.0,8.0
385ce944-c73e-4204-9de8-41dba0fc7c79,chabaa 100 apple juice 3381 fl oz  1000 ml,coffee tea  beverages,4.3,3,0.0,230.0,100.0
6545ee89-87ed-4e81-8d41-da50b6c69e69,vjherbals banana stem juice combo of 2 500ml  500ml,coffee tea  beverages,4.0,54,390.0,590.0,33.89830508474576
a732b5bd-bb70-454a-8ad1-f6a098645d5e,fruitbell fruit crush litchi 1000ml,coffee tea  beverages,0.0,1,0.0,195.0,100.0
61b95945-492c-44c0-9aa4-70c12f9e4cea,chilli guava syrup  great for cocktails mocktails sodas and more  made with real guavas  read to mix  750ml,coffee tea  beverages,3.4,34,580.0,690.0,15.942028985507244
0a6fc40b-2a6e-4f62-8559-9178984835d4,old jamaica cream soda can 330 ml,coffee tea  beverages,3.7,55,185.0,350.0,47.14285714285714
88416c8e-7d9b-48fd-899d-241d84027af2,williams wine passion fruit drink golden passion 750 ml,coffee tea  beverages,3.0,1,899.0,999.0,10.01001001001001
a4e51a88-8546-4051-a49a-f75e3de6ccac,vita orange juice no sugar added 3381 fl oz  1000 ml,coffee tea  beverages,2.9,2,0.0,350.0,100.0
7ef40aeb-4abf-49fb-9be5-16a54963c03d,passion fruit crush 1 kg  passion fruit squash  harvest natural,coffee tea  beverages,3.3,4,0.0,260.0,100.0
e3235b9c-c4a9-409c-b6ec-656724cf8c8c,b naturall instant chicory root powder  500 gm by b natruall,coffee tea  beverages,4.2,9,299.0,551.0,45.73502722323049
